#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
stress	600.0369056460	1400000	1.200000	0.202000	56
stress	600.0369056460	1400000	1.200000	0.211000	57
stress	600.0369056460	1400000	1.200000	0.211000	61
stress	600.0369056460	1400000	1.200000	0.212000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.211000	56
stress	600.0369056460	1400000	1.200000	0.210000	61
stress	600.0369056460	1400000	1.200000	0.210000	57
stress	600.0369056460	1400000	1.200000	0.211000	55
stress	600.0369056460	1400000	1.200000	0.211000	55
stress	600.0369056460	1400000	1.200000	0.211000	55
stress	600.0369056460	1400000	1.200000	0.211000	56
stress	600.0369056460	1400000	1.200000	0.211000	61
stress	600.0369056460	1400000	1.200000	0.211000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.209000	55
stress	600.0369056460	1400000	1.200000	0.202000	55
stress	600.0369056460	1400000	1.200000	0.202000	58
stress	600.0369056460	1400000	1.200000	0.211000	59
stress	600.0369056460	1400000	1.200000	0.211000	55
stress	600.0369056460	1400000	1.200000	0.211000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.210000	56
stress	600.0369056460	1400000	1.200000	0.210000	61
stress	600.0369056460	1400000	1.200000	0.210000	54
stress	600.0369056460	1400000	1.200000	0.210000	54
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.209000	55
stress	600.0369056460	1400000	1.200000	0.200000	57
stress	600.0369056460	1400000	1.200000	0.208000	59
stress	600.0369056460	1400000	1.200000	0.211000	54
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.210000	56
stress	600.0369056460	1400000	1.200000	0.210000	61
stress	600.0369056460	1400000	1.200000	0.210000	54
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.211000	57
stress	600.0369056460	1400000	1.200000	0.203000	59
stress	600.0369056460	1400000	1.200000	0.200000	55
stress	600.0369056460	1400000	1.200000	0.200000	55
stress	600.0369056460	1400000	1.200000	0.203000	55
stress	600.0369056460	1400000	1.200000	0.211000	56
stress	600.0369056460	1400000	1.200000	0.210000	61
stress	600.0369056460	1400000	1.200000	0.210000	54
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.211000	55
stress	600.0369056460	1400000	1.200000	0.210000	57
stress	600.0369056460	1400000	1.200000	0.211000	59
stress	600.0369056460	1400000	1.200000	0.210000	54
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.210000	55
stress	600.0369056460	1400000	1.200000	0.200000	55
stress	600.0369056460	1400000	1.200000	0.200000	61
stress	600.0369056460	1400000	1.200000	0.208000	54
stress	600.0369056460	1400000	1.200000	0.210000	54
stress	600.0369056460	1400000	1.200000	0.210000	54
stress	600.0369056460	1400000	1.200000	0.210000	55
