#Benchmark	runtime	CPU Frequency(MHz)
security_pgp_e	55.2486371050	1100000
security_rijndael_d	310.3899404790	1100000
security_rijndael_e	318.1720356290	1100000
security_sha	66.4157536820	1100000
telecom_adpcm_c	24.2692466620	1100000
telecom_adpcm_d	37.0400158010	1100000
telecom_CRC32	123.8888085060	1100000
telecom_gsm	40.2647167200	1100000
automotive_bitcount	33.2646477720	1100000
automotive_qsort1	45.7538118510	1100000
automotive_susan_c	62.7245619180	1100000
automotive_susan_e	47.7468986030	1100000
automotive_susan_s	42.3275637700	1100000
bzip2d	56.5157326500	1100000
bzip2e	56.6350976670	1100000
consumer_jpeg_c	47.1264919030	1100000
consumer_jpeg_d	122.8625696570	1100000
consumer_tiff2bw	68.3121179880	1100000
consumer_tiff2rgba	128.4057130790	1100000
consumer_tiffdither	53.6702546090	1100000
consumer_tiffmedian	56.7857844050	1100000
network_dijkstra	12.4375737810	1100000
network_patricia	33.7981168380	1100000
office_ghostscript	62.7591811300	1100000
office_ispell	79.0567496610	1100000
office_rsynth	23.4592645650	1100000
office_stringsearch1	19.3055002400	1100000
security_blowfish_d	34.5218747570	1100000
security_blowfish_e	34.5966735020	1100000
security_pgp_d	280.9450032590	1100000
security_pgp_e	54.7429557680	1100000
security_rijndael_d	310.9177924730	1100000
security_rijndael_e	316.3757134250	1100000
security_sha	66.5905878210	1100000
telecom_adpcm_c	24.2375941090	1100000
telecom_adpcm_d	36.8830814120	1100000
telecom_CRC32	123.7874778220	1100000
telecom_gsm	40.3135109420	1100000
automotive_bitcount	32.9555123580	1100000
automotive_qsort1	45.8024872810	1100000
automotive_susan_c	62.5693668160	1100000
automotive_susan_e	47.9874433410	1100000
automotive_susan_s	41.9796939450	1100000
bzip2d	56.8736786190	1100000
bzip2e	56.4122702220	1100000
consumer_jpeg_c	46.6065428080	1100000
consumer_jpeg_d	121.2828221220	1100000
consumer_tiff2bw	68.1368982250	1100000
consumer_tiff2rgba	125.1622686200	1100000
consumer_tiffdither	52.6752100210	1100000
consumer_tiffmedian	56.9911414320	1100000
network_dijkstra	12.0928701980	1100000
network_patricia	33.2299947690	1100000
office_ghostscript	62.5959076720	1100000
office_ispell	78.9819244990	1100000
office_rsynth	23.1603137120	1100000
office_stringsearch1	19.2949913890	1100000
security_blowfish_d	34.5814476610	1100000
security_blowfish_e	34.6086293920	1100000
security_pgp_d	283.5710925960	1100000
security_pgp_e	54.8139507710	1100000
security_rijndael_d	307.4730352270	1100000
security_rijndael_e	309.6042699520	1100000
security_sha	66.8645167330	1100000
telecom_adpcm_c	24.2301457110	1100000
telecom_adpcm_d	37.0233075480	1100000
telecom_CRC32	123.9493060750	1100000
telecom_gsm	40.0053209420	1100000
automotive_bitcount	36.4041419710	1000000
automotive_qsort1	49.8383815440	1000000
automotive_susan_c	68.2854915910	1000000
automotive_susan_e	52.0695212050	1000000
automotive_susan_s	46.6252986390	1000000
bzip2d	60.7261948450	1000000
bzip2e	59.0042664290	1000000
consumer_jpeg_c	50.3492395360	1000000
consumer_jpeg_d	129.0824124820	1000000
consumer_tiff2bw	72.5109792520	1000000
consumer_tiff2rgba	133.4157395610	1000000
consumer_tiffdither	57.2591613580	1000000
consumer_tiffmedian	61.3506669510	1000000
network_dijkstra	13.1064929090	1000000
network_patricia	36.3863405120	1000000
office_ghostscript	68.6594481480	1000000
office_ispell	85.1776683800	1000000
office_rsynth	25.5879922550	1000000
office_stringsearch1	21.7025194800	1000000
security_blowfish_d	37.9659682560	1000000
security_blowfish_e	38.5910353600	1000000
security_pgp_d	300.5749257940	1000000
security_pgp_e	59.8085310810	1000000
security_rijndael_d	328.9089673190	1000000
security_rijndael_e	336.0700270640	1000000
security_sha	73.2757604100	1000000
telecom_adpcm_c	27.0646269430	1000000
telecom_adpcm_d	40.5813241600	1000000
telecom_CRC32	133.5105102610	1000000
telecom_gsm	44.4028675400	1000000
automotive_bitcount	36.6729853530	1000000
automotive_qsort1	49.8579505410	1000000
automotive_susan_c	67.2264509840	1000000
automotive_susan_e	51.7814866600	1000000
automotive_susan_s	46.6532034080	1000000
bzip2d	59.4413857570	1000000
bzip2e	59.0814803770	1000000
consumer_jpeg_c	50.8371352060	1000000
consumer_jpeg_d	127.5910321610	1000000
consumer_tiff2bw	71.9918920700	1000000
consumer_tiff2rgba	133.1178307880	1000000
consumer_tiffdither	58.4321822030	1000000
consumer_tiffmedian	61.6125417240	1000000
network_dijkstra	13.1053343280	1000000
network_patricia	36.6945555960	1000000
office_ghostscript	68.7580277550	1000000
office_ispell	84.5257612120	1000000
office_rsynth	25.8894169790	1000000
office_stringsearch1	21.3364820710	1000000
security_blowfish_d	38.1611127650	1000000
security_blowfish_e	38.2263811980	1000000
security_pgp_d	301.4532356500	1000000
security_pgp_e	59.9496555890	1000000
security_rijndael_d	322.8146554140	1000000
security_rijndael_e	332.6324973010	1000000
security_sha	73.3137347810	1000000
telecom_adpcm_c	26.7933024840	1000000
telecom_adpcm_d	40.9002239680	1000000
telecom_CRC32	133.5333066240	1000000
telecom_gsm	44.0422898690	1000000
automotive_bitcount	36.6864359470	1000000
automotive_qsort1	49.9037905190	1000000
