#Benchmark	Runtime	CPU Frequency(MHz)	CPU Voltage(V)	CPU Power(W)	CPU Temperature(C)
stress	600.0227023080	2000000	1.300000	1.825000	55
stress	600.0227023080	2000000	1.300000	1.821000	55
stress	600.0227023080	2000000	1.300000	1.819000	56
stress	600.0227023080	2000000	1.300000	1.817000	55
stress	600.0227023080	2000000	1.300000	1.821000	55
stress	600.0227023080	2000000	1.300000	1.823000	55
stress	600.0227023080	2000000	1.300000	1.821000	55
stress	600.0227023080	2000000	1.300000	1.819000	55
stress	600.0227023080	2000000	1.300000	1.823000	55
stress	600.0227023080	2000000	1.300000	1.821000	55
stress	600.0227023080	2000000	1.300000	1.817000	55
stress	600.0227023080	2000000	1.300000	1.821000	55
stress	600.0227023080	2000000	1.300000	1.823000	55
stress	600.0227023080	2000000	1.300000	1.820000	55
stress	600.0227023080	2000000	1.300000	1.821000	55
stress	600.0227023080	2000000	1.300000	1.823000	55
stress	600.0227023080	2000000	1.300000	1.819000	55
stress	600.0227023080	2000000	1.300000	1.819000	55
stress	600.0227023080	2000000	1.300000	1.821000	55
stress	600.0227023080	2000000	1.300000	1.823000	55
stress	600.0227023080	2000000	1.300000	1.819000	55
stress	600.0227023080	2000000	1.300000	1.817000	55
stress	600.0227023080	2000000	1.300000	1.816000	55
stress	600.0227023080	2000000	1.300000	1.821000	55
stress	600.0227023080	2000000	1.300000	1.817000	55
stress	600.0227023080	2000000	1.300000	1.815000	55
stress	600.0227023080	2000000	1.300000	1.815000	55
stress	600.0227023080	2000000	1.300000	1.817000	55
stress	600.0227023080	2000000	1.300000	1.819000	55
stress	600.0227023080	2000000	1.300000	1.813000	55
stress	600.0227023080	2000000	1.300000	1.819000	55
stress	600.0227023080	2000000	1.300000	1.817000	55
stress	600.0227023080	2000000	1.300000	1.813000	55
stress	600.0227023080	2000000	1.300000	1.819000	54
stress	600.0227023080	2000000	1.300000	1.815000	54
stress	600.0227023080	2000000	1.300000	1.813000	54
stress	600.0227023080	2000000	1.300000	1.816000	54
stress	600.0227023080	2000000	1.300000	1.816000	54
stress	600.0227023080	2000000	1.300000	1.816000	54
stress	600.0227023080	2000000	1.300000	1.812000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.817000	54
stress	600.0227023080	2000000	1.300000	1.817000	54
stress	600.0227023080	2000000	1.300000	1.813000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.816000	54
stress	600.0227023080	2000000	1.300000	1.815000	54
stress	600.0227023080	2000000	1.300000	1.813000	54
stress	600.0227023080	2000000	1.300000	1.817000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.816000	54
stress	600.0227023080	2000000	1.300000	1.815000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.815000	54
stress	600.0227023080	2000000	1.300000	1.812000	54
stress	600.0227023080	2000000	1.300000	1.809000	54
stress	600.0227023080	2000000	1.300000	1.808000	54
stress	600.0227023080	2000000	1.300000	1.812000	54
stress	600.0227023080	2000000	1.300000	1.813000	54
stress	600.0227023080	2000000	1.300000	1.812000	54
stress	600.0227023080	2000000	1.300000	1.809000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.813000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.812000	54
stress	600.0227023080	2000000	1.300000	1.808000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.813000	54
stress	600.0227023080	2000000	1.300000	1.812000	54
stress	600.0227023080	2000000	1.300000	1.809000	54
stress	600.0227023080	2000000	1.300000	1.809000	54
stress	600.0227023080	2000000	1.300000	1.809000	54
stress	600.0227023080	2000000	1.300000	1.813000	53
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.807000	54
stress	600.0227023080	2000000	1.300000	1.809000	54
stress	600.0227023080	2000000	1.300000	1.813000	54
stress	600.0227023080	2000000	1.300000	1.811000	54
stress	600.0227023080	2000000	1.300000	1.807000	54
stress	600.0227023080	2000000	1.300000	1.810000	54
stress	600.0227023080	2000000	1.300000	1.812000	53
stress	600.0227023080	2000000	1.300000	1.808000	54
stress	600.0227023080	2000000	1.300000	1.808000	53
stress	600.0227023080	2000000	1.300000	1.811000	53
