#Timestamp	r011	r004	r014	r008	r013
1419917176066953995	100778982	26962927	27776067	60256926	26966534
1419917176570461546	100682955	27402247	27663105	63235884	27405824
1419917177073317806	100571922	28953656	28214825	69545328	28957089
1419917177576288692	100593576	31356596	28726943	79858032	31360033
1419917178078876369	100518270	27030108	27722148	61265511	27033661
1419917178581803713	100586190	27245373	27695240	62148019	27248704
1419917179084353516	100510059	27533514	27747220	63662655	27537040
1419917179587205318	100570221	31736896	28990785	81435214	31740308
1419917180090002371	100559509	27566101	27727816	63759593	27569635
1419917180592565382	100512485	27195810	27612187	61783132	27199249
1419917181095874641	100660387	27154096	27769755	61619666	27157638
1419917181598633902	100553664	31323229	28998030	80072748	31326605
1419917182105325154	101338291	28586058	28157489	68084836	28589461
1419917182607876665	100510144	26922602	27684784	60395357	26925895
1419917183110810467	100586859	27101851	27678664	61591874	27105573
1419917183613355104	100510173	30537160	28548586	76484332	30540462
1419917184116236697	100576385	29529650	28492125	72031168	29533049
1419917184618812334	100513696	27371029	27767478	63034790	27374511
1419917185121801011	100599099	26927315	27708578	60549094	26930851
1419917185624363647	100513521	28198866	28056744	66627257	28202505
1419917186127352282	100597143	31772876	28908540	81581979	31776177
1419917186630697917	100668894	27184750	27646464	62227171	27188195
1419917187133496636	100560324	27224950	27594528	62294127	27228451
1419917187636446313	100590218	27376523	27719460	63196362	27379969
1419917188138994699	100510135	31857082	29066773	82097417	31860535
1419917188641938668	100589565	27658990	27851399	64026795	27662478
1419917189144800345	100516632	27600291	27799618	63684826	27603761
1419917189647658272	100627239	27042142	27774346	61236323	27045577
1419917190150722199	100613325	30518304	28800033	76263759	30521728
1419917190653302793	100515558	28753895	28225671	68745171	28757286
1419917191156236595	100584603	26815886	27779555	60178152	26819462
1419917191658958273	100545460	27589097	27765180	63463594	27592651
1419917192162038283	100615282	29213341	28382425	70840189	29216758
1419917192664866752	100516863	30227474	28671005	75340559	30239389
1419917193167438305	100563618	27123673	27798897	61301748	27118511
1419917193670336357	100579722	26882217	27736620	60513445	26885686
1419917194173079451	100550036	27708033	27951400	64308772	27711344
1419917194676120170	100607809	32008119	29036544	82614048	32011741
1419917195178710889	100518354	27184875	27897621	61849171	27188231
1419917195681641025	100586492	27210293	27694200	62048675	27213763
1419917196184308744	100533634	27110050	27749785	61720210	27113667
1419917196687412921	100611043	31224463	28822737	79567132	31227852
1419917197190923055	100701810	28745573	28215259	68601593	28748932
1419917197694087231	100632633	27361015	27830135	62363769	27364483
1419917198197586865	100700316	26979998	27718390	61192060	26983528
1419917198701079916	100698800	29897031	28478634	73587383	29900426
1419917199204183426	100621807	29935624	28633890	74019654	29939039
1419917199707671852	100697367	26703697	27771945	59647768	26707286
1419917200211457110	100757223	27488630	27871758	62916685	27492280
1419917200714851911	100621107	28162577	28100301	66419982	28176349
1419917201217948880	100677657	31364729	28916811	79937561	31357599
1419917201721723971	100742734	27452147	27795173	63080595	27455613
1419917202225099189	100674325	27037363	27686099	61322591	27040946
1419917202728417282	100664673	27393678	27886248	62443897	27397066
1419917203231451375	100608069	32015472	28921477	83003334	32018991
1419917203734024428	100510058	27954865	28076269	65419471	27958211
1419917204237202813	100636482	26955166	27748793	60542584	26958823
1419917204740055449	100569914	27386664	27672697	62860026	27390255
1419917205242716918	100533890	29738122	28530410	73024343	29741503
1419917205745655179	100587835	29904707	28465914	73681236	29908086
1419917206248435606	100555579	27272760	27719400	62419070	27276321
1419917206751531408	100618527	27160318	27787970	61636527	27163829
1419917207255088417	100710507	28386373	28237947	67281164	28390010
1419917207758181010	100619742	31259139	28823216	79698007	31262737
1419917208261646186	100691655	27363564	27972356	62435135	27367094
1419917208765318194	100735365	27057112	27841569	60838744	27060469
1419917209268424788	100621920	26582654	28206296	58890367	26586183
1419917209771923714	100701228	31327574	29011626	79842251	31331190
1419917210275342973	100683291	28836922	28187136	69256739	28840473
1419917210778477316	100624575	27015850	27723407	61156032	27019587
1419917211282601240	100827807	28411785	27859479	67024128	28415332
1419917211786308499	100736223	28635123	28399112	67907528	28638804
1419917212290008716	100642293	30841002	28815903	77667916	30844387
1419917212793398017	100775673	27087571	27955958	61236366	27091344
